datetime,open,max,min,close,volume
 2016/12/26-10:30,0.557912510348106,0.557912510348106,0.4750129095186187,0.5011680040654739,79
 2016/12/26-11:30,0.5013319344606273,0.5224625623960064,0.47666040998991727,0.5186265911493975,36
 2016/12/26-14:00,0.5185610189913359,0.5546994746030832,0.5122578952976558,0.553256887125726,30
 2016/12/26-15:00,0.553256887125726,0.6152143799742625,0.5529044367761441,0.6152143799742625,61
 2016/12/27-10:30,0.6123374015393058,0.6339434276206322,0.6055834692589522,0.6220338844126777,72
 2016/12/27-11:30,0.62227978000541,0.6445169381080789,0.6219519192151003,0.6414104571199057,38
 2016/12/27-14:00,0.6416399596731223,0.6460005081842242,0.6250665967230313,0.6256649426653439,37
 2016/12/27-15:00,0.625845266100013,0.6269599927870622,0.6088128980434908,0.6128783718433146,52
 2016/12/28-10:30,0.6115997147611122,0.6261567338508068,0.5900100817193016,0.6021081448816831,71
 2016/12/28-11:30,0.602149127480471,0.609476816143865,0.5864200060654249,0.5934936026163288,38
 2016/12/28-14:00,0.5936083538929362,0.6020179831643477,0.5813299672958857,0.5946247223428922,33
 2016/12/28-15:00,0.5954443743186633,0.5961246854585532,0.5630681212757053,0.5772972795750919,54
 2016/12/29-10:30,0.5689942050605314,0.5767645057908409,0.5530765636910568,0.5611829217314324,63
 2016/12/29-11:30,0.561404227764891,0.5999114775866162,0.547888166684426,0.5999114775866162,38
 2016/12/29-14:00,0.5998541019483126,0.6062801734383579,0.5764120554412592,0.5770431874626033,32
 2016/12/29-15:00,0.5765186101981087,0.5827561617337272,0.5516093866544258,0.5545847233264758,57
 2016/12/30-10:30,0.5677401375376011,0.5911739875248966,0.5571584305303965,0.5641254723244508,61
 2016/12/30-11:30,0.5649943034187677,0.5657647762759929,0.5428309139939183,0.5558142012901324,35
 2016/12/30-14:00,0.5553551961836996,0.5875675188315042,0.5553551961836996,0.5875101431932004,33
 2016/12/30-15:00,0.5876904666278695,0.5880183274181776,0.5503881052105272,0.5690843667778652,60
 2017/01/03-10:30,0.5920346220994557,0.6434186044605456,0.5920346220994557,0.6432300845061185,75
 2017/01/03-11:30,0.6432136914666028,0.6494020638836738,0.6224109243215332,0.6245256264190225,37
 2017/01/03-14:00,0.6243534995041099,0.6360253436390899,0.6243534995041099,0.6299107398998384,34
 2017/01/03-15:00,0.6297550060244415,0.640525232986073,0.6236404022851898,0.6393367376212059,51
 2017/01/04-10:30,0.6406317877429242,0.6543937444161199,0.6335172085932309,0.6541314557838734,79
 2017/01/04-11:30,0.6545494782915169,0.7057285476586639,0.6545494782915169,0.7053351147102942,54
 2017/01/04-14:00,0.7053924903485979,0.7303181069317966,0.7053924903485979,0.7303181069317966,55
 2017/01/04-15:00,0.73005581829955,0.7393506717047943,0.723449423374834,0.7393506717047943,66
 2017/01/05-10:30,0.7374900617197936,0.7492110849733196,0.7260067375392405,0.73911297263182,94
 2017/01/05-11:30,0.7391293656713357,0.7397604976926798,0.7234248338155618,0.735760596050916,48
 2017/01/05-14:00,0.7358179716892198,0.745604616279927,0.7247772595755838,0.745604616279927,40
 2017/01/05-15:00,0.7450062703376145,0.7475144053834736,0.7242116997123014,0.7283673352294605,66
 2017/01/06-10:30,0.7213019351983145,0.7215232412317731,0.6857126464103339,0.6857700220486377,92
 2017/01/06-11:30,0.6859749350425804,0.6936304844962825,0.6793029679598043,0.6864667262280434,46
 2017/01/06-14:00,0.686343778431678,0.6867699974590779,0.660549330754161,0.6773767858167419,46
 2017/01/06-15:00,0.6774423579748036,0.6821225707564558,0.6587378998877076,0.6610657114988976,61
 2017/01/09-10:30,0.6544675130939395,0.6667540962107479,0.6356646967697518,0.6540330975467817,80
 2017/01/09-11:30,0.6536068785193804,0.6961058334631115,0.6505741662090267,0.6957451865937718,44
 2017/01/09-14:00,0.6958599378703794,0.700687688007672,0.6796964009081741,0.6806881797988563,41
 2017/01/09-15:00,0.6802045851331513,0.6958435448308651,0.672557232199207,0.6958435448308651,56
 2017/01/10-10:30,0.6919256083866787,0.7022368302418789,0.678007917838086,0.6888355204380213,79
 2017/01/10-11:30,0.6886060178848049,0.7152856896961547,0.6886060178848049,0.714400465562322,42
 2017/01/10-14:00,0.7148430776292376,0.7166217224166609,0.6976221896182868,0.7024909223543675,38
 2017/01/10-15:00,0.7022204372023632,0.7116054523249427,0.671172020360155,0.6749834020474903,61
 2017/01/11-10:30,0.6651147922592057,0.6954992910010411,0.6548855356015829,0.6656229764841844,75
 2017/01/11-11:30,0.6662868945845586,0.6662868945845586,0.6186815078317739,0.6186815078317739,45
 2017/01/11-14:00,0.6185339704761349,0.6257469078629213,0.5991819873281805,0.6166979500504078,39
 2017/01/11-15:00,0.6171815447161129,0.6340663754169975,0.6005098235289288,0.6005098235289288,54
 2017/01/12-10:30,0.5939116251239721,0.6174028507495714,0.5840266222961733,0.5843053039679341,66
 2017/01/12-11:30,0.5846823438767895,0.6102636820406044,0.5829774677671857,0.6044605460521452,35
 2017/01/12-14:00,0.6045916903682684,0.606468693392785,0.5595190282206166,0.5595190282206166,37
 2017/01/12-15:00,0.5598059064121368,0.5633631959869834,0.5283312705425273,0.5314541445702147,61
 2017/01/13-10:30,0.5351015958623967,0.5511175954689629,0.49202068801586873,0.5021925690351878,71
 2017/01/13-11:30,0.5017089743694827,0.5436915485684773,0.4834143422702723,0.5258067424571524,39
 2017/01/13-14:00,0.525913297214002,0.5275362081260299,0.4789472390023193,0.48222584690540365,32
 2017/01/13-15:00,0.4820947025892804,0.48288156848601993,0.4217601206527702,0.43069432718867473,66
