datetime,open,max,min,close,volume
 2016/05/18-10:30,0.0747629697294231,0.07479446876870256,0.06627397864365125,0.06648659715878652,0.0923340174100544
 2016/05/18-11:30,0.06644328597977761,0.06898683340158127,0.059584370176709575,0.06141918921472886,0.05938903623590914
 2016/05/18-14:00,0.06155699751157577,0.06683702397076889,0.05980092607175467,0.06388398903833432,0.04451579013959903
 2016/05/18-15:00,0.0637343686017576,0.0672032003023907,0.05637146817022065,0.06662440545563361,0.09129161051057634
 2016/05/19-10:30,0.06457696790247888,0.0735030081582511,0.0643682867672536,0.07299902352978219,0.08581099678268835
 2016/05/19-11:30,0.07300296090969219,0.0752118310391533,0.07093977383689781,0.07131382492833964,0.04649016985581809
 2016/05/19-14:00,0.0715185686836551,0.07345182221942219,0.06771505969067944,0.06778986990896763,0.04412582579933788
 2016/05/19-15:00,0.06784499322770653,0.0691837023970769,0.06451003244401034,0.06638816266103871,0.06251523689140413
 2016/05/20-10:30,0.06086795602734104,0.06862065706995926,0.05799366869310484,0.06734494597914761,0.07678761995825253
 2016/05/20-11:30,0.06731738431977816,0.07044760134815872,0.06518332440860543,0.06749456641572417,0.04315482190560303
 2016/05/20-14:00,0.06755756449428289,0.06905770623995963,0.062419283711846685,0.06668740353419216,0.04297567927016967
 2016/05/20-15:00,0.06671102781365161,0.07388099662960274,0.06662046807572361,0.07369987715374673,0.07533806195729265
 2016/05/23-10:30,0.07402667968626947,0.08259441837023969,0.07400699278672002,0.0802516773238415,0.10788016466264476
 2016/05/23-11:30,0.0802083661448326,0.08170063313068951,0.0779128736573533,0.07952326204050768,0.04840546406593696
 2016/05/23-14:00,0.07963350867798531,0.08100371688663496,0.07664503732636148,0.07688128012095621,0.0426333682566525
 2016/05/23-15:00,0.07677103348347876,0.08117302422276114,0.07560163165023456,0.08085409645005823,0.07043071236122869
 2016/05/24-10:30,0.07929095662582276,0.07929883138564259,0.07017985951428472,0.07182962169653818,0.0916753391166432
 2016/05/24-11:30,0.071841433836268,0.07353056981762056,0.0690892052792389,0.07224698396698892,0.0446421022492197
 2016/05/24-14:00,0.0722430465870791,0.07298721139005256,0.06913645383815781,0.0691758276372569,0.034637367132911615
 2016/05/24-15:00,0.06938057139257253,0.07323920370428692,0.06649840929851634,0.07219973540807001,0.06210775860633804
 2016/05/25-10:30,0.07746007496771348,0.08063360317510314,0.0750779601222162,0.07542444955428856,0.08762590337071649
 2016/05/25-11:30,0.07543232431410839,0.07702696317762293,0.07442829243708056,0.0752157684190631,0.03686052184973355
 2016/05/25-14:00,0.07523939269852256,0.07549138501275711,0.06815998362049944,0.06815998362049944,0.04475650102715437
 2016/05/25-15:00,0.06799855104419307,0.07273915645572801,0.06671890257347143,0.06960893942734744,0.05741371346112367
 2016/05/26-10:30,0.0689986455413109,0.07429835890005347,0.05806454153148321,0.06071439821085449,0.09293472647077057
 2016/05/26-11:30,0.060486030176079585,0.06169086842851286,0.05617459917472502,0.05883233061391612,0.039907544077835665
 2016/05/26-14:00,0.05883233061391612,0.06352568746653214,0.05794642013418575,0.06352568746653214,0.03132053392434749
 2016/05/26-15:00,0.06380917882004596,0.07269978265662892,0.06380917882004596,0.07250291366113328,0.08046497098449368
 2016/05/27-10:30,0.07074290484140218,0.07264072195798019,0.06763237471257125,0.06965225060635635,0.08063437509677177
 2016/05/27-11:30,0.06957744038806818,0.07363294169527819,0.06916401549752726,0.06919157715689672,0.04227198436478183
 2016/05/27-14:00,0.06923882571581562,0.07452672693482838,0.06800248842410307,0.07274703121554783,0.04174006084113472
 2016/05/27-15:00,0.07276671811509747,0.07639304501212711,0.07136894824707836,0.07195561785365545,0.07373345742957609
 2016/05/30-10:30,0.06943569471131127,0.07146344536491636,0.06157274703121541,0.07127051374933055,0.07713911135822239
 2016/05/30-11:30,0.0712587016096009,0.07583393706491948,0.06947900589032036,0.07397943112735056,0.043189907533492486
 2016/05/30-14:00,0.07421173654203547,0.07463303619239602,0.07050666204680746,0.07155400510284436,0.035475746198458745
 2016/05/30-15:00,0.07128232588906036,0.07579062588591039,0.07084133933915,0.0725068510410431,0.06665591836515523
 2016/05/31-10:30,0.07256197435978201,0.09950546508331487,0.07256197435978201,0.0961035688411503,0.15509529635682812
 2016/05/31-11:30,0.09627287617727649,0.09967083503953124,0.09339071408322029,0.09955665102214378,0.07592320092861629
 2016/05/31-14:00,0.0995251519828645,0.10536428638926508,0.0995251519828645,0.10536428638926508,0.09292781712331455
 2016/05/31-15:00,0.10508866979557108,0.10975052760890783,0.10460043468674199,0.10958515765269147,0.13127860246110956
 2016/06/01-10:30,0.10979383878791692,0.1125696916244053,0.10680930481620309,0.11124673197467475,0.15837779453513728
 2016/06/01-11:30,0.11115617223674674,0.11445175922134368,0.10965603049107002,0.11043563171323274,0.08468977713158805
 2016/06/01-14:00,0.11042775695341292,0.1128846820171984,0.107309352064762,0.10838819416007801,0.07883053501232914
 2016/06/01-15:00,0.10845906699845655,0.11178221564242276,0.10830157180206,0.10836063250070874,0.1012619528583499
 2016/06/02-10:30,0.10745897250133855,0.11188458752008057,0.10622263520962599,0.11074274734620584,0.11923828505223111
 2016/06/02-11:30,0.11061281380917874,0.11135304123224239,0.10565565250259853,0.10586433363782399,0.07667691643021077
 2016/06/02-14:00,0.1058210224588149,0.1103686962547642,0.1058210224588149,0.10941585031656528,0.05922513650628403
 2016/06/02-15:00,0.10932529057863728,0.11305398935332457,0.10736447538350073,0.1129752417551264,0.10107574690671497
 2016/06/03-10:30,0.11477068699404659,0.11517229974485768,0.1090654235045831,0.11077818376539511,0.1294520519867001
 2016/06/03-11:30,0.11117192175638639,0.11327054524836985,0.1100064573030522,0.11269962516143257,0.07334016351519268
 2016/06/03-14:00,0.1127153746810722,0.11780246952467933,0.11231376193026112,0.11732998393548986,0.07667478011386643
 2016/06/03-15:00,0.11756228935017478,0.12094056131287989,0.11677087598828223,0.11827101773395897,0.12720768807518032
 2016/06/06-10:30,0.1191805524931488,0.12100749677134844,0.11560147415503823,0.11768434812738206,0.12884639668003353
 2016/06/06-11:30,0.11758197624972423,0.11920023939269843,0.11521561092386677,0.11776309572558023,0.05998772445684013
 2016/06/06-14:00,0.11797571424071551,0.11836945223170679,0.11377846725674857,0.11457381799855094,0.060141558479725694
