2016/11/24	1046	3244.11	3244.53	3242.95	3243.15	94007	0.00
2016/11/24	1047	3243.50	3243.51	3242.01	3242.32	96456	0.00
2016/11/24	1048	3243.09	3243.09	3241.46	3241.65	95326	0.00
2016/11/24	1049	3241.83	3242.37	3241.44	3242.22	98258	0.00
2016/11/24	1050	3241.63	3242.26	3241.14	3241.57	88689	0.00
2016/11/24	1051	3241.66	3242.46	3241.65	3241.99	81407	0.00
2016/11/24	1052	3241.28	3243.03	3241.28	3242.49	81365	0.00
2016/11/24	1053	3242.39	3244.14	3242.39	3244.14	99854	0.00
2016/11/24	1054	3244.26	3245.11	3244.26	3244.94	123973	0.00
2016/11/24	1055	3245.12	3246.23	3245.12	3246.11	122292	0.00
2016/11/24	1056	3245.60	3246.86	3245.57	3246.48	105942	0.00
2016/11/24	1057	3246.51	3246.77	3245.35	3246.66	111950	0.00
2016/11/24	1058	3246.63	3247.18	3246.11	3246.11	104659	0.00
2016/11/24	1059	3246.98	3248.11	3246.55	3248.02	142757	0.00
2016/11/24	1100	3248.46	3249.02	3247.60	3248.52	155865	0.00
2016/11/24	1101	3247.82	3248.45	3246.84	3247.59	125556	0.00
2016/11/24	1102	3247.37	3247.88	3246.69	3247.33	105319	0.00
2016/11/24	1103	3247.06	3247.72	3246.54	3247.50	103287	0.00
2016/11/24	1104	3246.78	3247.17	3245.88	3246.65	106559	0.00
2016/11/24	1105	3246.42	3246.89	3245.01	3245.01	102717	0.00
2016/11/24	1106	3245.29	3245.91	3244.77	3245.19	102062	0.00
2016/11/24	1107	3245.30	3245.32	3244.25	3244.44	90869	0.00
2016/11/24	1108	3245.05	3245.66	3244.83	3245.19	89886	0.00
2016/11/24	1109	3244.66	3246.15	3244.64	3245.50	90878	0.00
2016/11/24	1110	3245.43	3246.13	3244.78	3245.72	96388	0.00
2016/11/24	1111	3245.66	3247.48	3245.66	3247.18	90464	0.00
2016/11/24	1112	3247.47	3247.71	3246.82	3247.33	94126	0.00
2016/11/24	1113	3247.43	3248.30	3246.86	3246.86	89343	0.00
2016/11/24	1114	3247.76	3248.32	3246.82	3247.73	93441	0.00
2016/11/24	1115	3247.01	3247.66	3246.43	3246.98	95543	0.00
2016/11/24	1116	3246.92	3247.46	3246.26	3246.56	83578	0.00
2016/11/24	1117	3246.32	3246.57	3245.62	3246.07	89466	0.00
2016/11/24	1118	3246.03	3246.45	3245.51	3245.70	79893	0.00
2016/11/24	1119	3246.03	3247.02	3245.63	3246.85	79404	0.00
2016/11/24	1120	3247.06	3247.51	3246.82	3247.28	81321	0.00
2016/11/24	1121	3247.29	3247.29	3246.63	3247.12	73601	0.00
2016/11/24	1122	3246.69	3246.90	3245.50	3245.50	76915	0.00
2016/11/24	1123	3246.24	3246.33	3245.00	3245.00	87868	0.00
2016/11/24	1124	3245.82	3245.82	3244.78	3244.95	88634	0.00
2016/11/24	1125	3244.93	3245.44	3244.09	3244.29	93666	0.00
2016/11/24	1126	3243.97	3245.13	3243.97	3244.41	97133	0.00
2016/11/24	1127	3244.35	3245.24	3244.35	3244.43	79051	0.00
2016/11/24	1128	3244.90	3245.12	3244.03	3244.78	76128	0.00
2016/11/24	1129	3244.84	3245.08	3244.25	3244.55	71888	0.00
2016/11/24	1300	3244.46	3245.24	3243.89	3244.76	244591	0.00
2016/11/24	1301	3244.76	3244.76	3244.76	3244.76	0	0.00
2016/11/24	1302	3245.31	3245.72	3244.75	3245.47	54309	0.00
2016/11/24	1303	3245.46	3245.46	3244.47	3244.91	60512	0.00
2016/11/24	1304	3244.96	3245.38	3244.51	3244.75	63604	0.00
2016/11/24	1305	3244.39	3244.58	3244.04	3244.04	64141	0.00
2016/11/24	1306	3244.19	3244.34	3243.28	3243.28	71009	0.00
2016/11/24	1307	3243.68	3244.52	3243.49	3243.68	82896	0.00
2016/11/24	1308	3243.58	3244.81	3243.58	3244.42	70667	0.00
2016/11/24	1309	3244.33	3244.87	3243.78	3244.10	77081	0.00
2016/11/24	1310	3243.79	3244.67	3243.66	3243.96	67972	0.00
2016/11/24	1311	3244.38	3244.66	3244.04	3244.52	79072	0.00
2016/11/24	1312	3244.17	3244.20	3243.47	3243.47	61906	0.00
2016/11/24	1313	3243.68	3244.30	3243.30	3244.09	80312	0.00
2016/11/24	1314	3244.35	3244.57	3243.59	3244.57	79868	0.00
2016/11/24	1315	3244.53	3245.13	3243.87	3245.05	80933	0.00
2016/11/24	1316	3244.56	3245.34	3244.37	3245.34	89817	0.00
2016/11/24	1317	3245.41	3245.96	3245.00	3245.24	86476	0.00
2016/11/24	1318	3245.45	3246.31	3245.14	3245.75	90991	0.00
2016/11/24	1319	3245.82	3246.92	3245.82	3246.77	104307	0.00
2016/11/24	1320	3246.71	3247.98	3246.71	3247.95	89479	0.00
2016/11/24	1321	3248.10	3249.26	3248.10	3248.86	93783	0.00
2016/11/24	1322	3249.10	3249.30	3248.50	3249.30	81254	0.00
2016/11/24	1323	3249.01	3249.56	3248.93	3249.53	86800	0.00
2016/11/24	1324	3249.22	3249.74	3248.66	3249.42	90975	0.00
2016/11/24	1325	3249.90	3250.83	3249.73	3250.29	82349	0.00
2016/11/24	1326	3250.44	3251.33	3250.44	3251.08	93337	0.00
2016/11/24	1327	3251.24	3252.22	3250.87	3252.22	112448	0.00
