date,time,open,max,min,close,volume,turnover
2016/11/24,932,0.7468459062037776,0.7366008792442236,0.8160801876732766,0.7632734704526672,0.5564332182626461,0.0
2016/11/24,1032,0.7634647176542244,0.7559161911888503,0.839368735338024,0.7754924555376801,0.36649242672794474,0.0
2016/11/24,1302,0.7764291307752548,0.7966046207090066,0.8484964811260399,0.7696221246249508,0.32521512031444233,0.0
2016/11/24,1402,0.7688593056643186,0.7448321017678425,0.804393260823203,0.7684480584424054,0.5140155748458354,0.0
2016/11/25,932,0.7655529452710348,0.7669067439902717,0.7051823416506706,0.6486498238900735,0.7812350688049511,0.0
2016/11/25,1032,0.645653876272514,0.708493125058461,0.727404563872893,0.7497499673870515,0.25425977218531043,0.0
2016/11/25,1302,0.7422779082920045,0.7322514264334489,0.8071657069737684,0.7711005783363051,0.16532359437081692,0.0
2016/11/25,1402,0.7699469242147405,0.8702179403236368,0.8436766901258262,0.8977257903204766,0.5178617504774279,0.0
2016/11/28,932,0.8985034368746195,0.9311102796744926,0.9643420772019615,0.9149454276644782,0.8010158114356997,0.0
2016/11/28,1032,0.913860610806579,0.9010850247872039,0.9525271912987839,0.928990737922338,0.2829146825578371,0.0
2016/11/28,1302,0.9260419385713041,0.9213824712374898,0.9893793985924494,0.9326868722007217,0.31832403748664007,0.0
2016/11/28,1402,0.9309144696771963,0.9397624169862496,0.9396459799530814,0.8619819976518684,0.6319933981406564,0.0
2016/11/29,932,0.8632210910989313,0.9103451501262741,0.9342716997227541,0.9235117624037931,0.7275303895977144,0.0
2016/11/29,1032,0.9221265117897866,0.9778785894677766,1.0,1.0,0.47984903562398507,0.0
2016/11/29,1302,1.0,0.9818071274904131,0.9766687993175507,0.9278601556724803,0.4978804075271305,0.0
2016/11/29,1402,0.9264334812494567,1.0,0.9608445297504786,0.8855937731008394,0.7650539777814668,0.0
2016/11/30,932,0.8851039763334209,0.8874754466373589,0.8941352100661116,0.849415141105363,0.7488477899326003,0.0
2016/11/30,1032,0.8459062037762131,0.8251800579927038,0.8623587118788657,0.7992781667173984,0.2982800396146417,0.0
2016/11/30,1302,0.7994866440442019,0.7923487045178185,0.8627852420558753,0.7844066617384877,0.2275211961425831,0.0
2016/11/30,1402,0.7823022709475331,0.8159667009634277,0.8327575175943699,0.847588815932514,0.4440457999634876,0.0
