date	time	open	max	min	close	volume	turnover
2017/01/03	0935	1965.04	1966.41	1964.46	1965.19	269171	2691711744.00
2017/01/03	0940	1964.92	1968.79	1964.69	1968.63	186237	1862372096.00
2017/01/03	0945	1968.85	1970.45	1968.85	1970.03	193144	1931448832.00
2017/01/03	0950	1970.19	1971.91	1969.74	1970.56	186920	1869200384.00
2017/01/03	0955	1970.62	1971.47	1969.99	1969.99	183802	1838025728.00
2017/01/03	1000	1970.30	1970.56	1969.39	1970.22	139978	1399788544.00
2017/01/03	1005	1970.21	1970.34	1967.19	1967.19	138278	1382788096.00
2017/01/03	1010	1967.35	1969.69	1966.49	1969.11	130430	1304300544.00
2017/01/03	1015	1969.44	1969.65	1968.84	1969.24	118911	1189116928.00
2017/01/03	1020	1969.00	1969.15	1967.45	1967.72	111926	1119261696.00
2017/01/03	1025	1967.57	1968.22	1966.89	1967.85	106543	1065432064.00
2017/01/03	1030	1967.91	1969.44	1967.65	1969.35	107302	1073025024.00
2017/01/03	1035	1969.29	1970.78	1969.26	1970.21	102931	1029310464.00
2017/01/03	1040	1970.29	1970.37	1968.46	1969.02	89039	890390528.00
2017/01/03	1045	1968.97	1969.03	1968.32	1968.91	78965	789651456.00
2017/01/03	1050	1968.84	1968.94	1967.26	1967.61	76327	763275264.00
2017/01/03	1055	1967.65	1968.11	1966.47	1966.54	76748	767481856.00
2017/01/03	1100	1966.60	1966.83	1965.17	1965.24	81467	814673920.00
2017/01/03	1105	1965.36	1965.51	1964.22	1964.35	70480	704808960.00
2017/01/03	1110	1964.50	1965.26	1964.03	1965.03	69783	697831424.00
2017/01/03	1115	1965.05	1965.25	1963.99	1964.51	67482	674822144.00
2017/01/03	1120	1964.61	1964.61	1962.02	1962.02	66175	661751808.00
2017/01/03	1125	1962.58	1962.58	1960.42	1960.69	75115	751155200.00
2017/01/03	1130	1960.88	1960.93	1959.88	1960.61	77145	771459072.00
2017/01/03	1305	1961.01	1962.18	1960.84	1960.99	61253	612538368.00
2017/01/03	1310	1961.01	1962.31	1960.59	1961.78	65144	651442176.00
2017/01/03	1315	1961.77	1962.27	1960.44	1960.64	65359	653590528.00
2017/01/03	1320	1960.58	1960.72	1959.80	1960.65	78587	785872896.00
2017/01/03	1325	1960.72	1961.14	1960.13	1960.18	75072	750723072.00
2017/01/03	1330	1960.09	1960.64	1959.57	1960.54	83114	831141888.00
2017/01/03	1335	1960.59	1962.39	1960.29	1961.98	85014	850149376.00
2017/01/03	1340	1962.05	1962.17	1961.11	1961.27	74166	741668864.00
2017/01/03	1345	1961.27	1961.65	1960.94	1961.33	75700	757000192.00
2017/01/03	1350	1961.34	1961.76	1961.15	1961.49	89565	895655936.00
2017/01/03	1355	1961.53	1961.96	1960.49	1960.75	82132	821321728.00
2017/01/03	1400	1960.74	1960.78	1959.87	1960.21	82357	823574528.00
2017/01/03	1405	1960.24	1960.34	1959.33	1959.53	85686	856866816.00
2017/01/03	1410	1959.44	1959.83	1959.14	1959.63	76110	761102336.00
2017/01/03	1415	1959.55	1961.31	1959.55	1961.28	74097	740978688.00
2017/01/03	1420	1961.33	1961.35	1959.73	1959.93	81693	816939008.00
2017/01/03	1425	1960.06	1961.27	1959.73	1961.10	98363	983633920.00
2017/01/03	1430	1961.18	1961.33	1960.75	1960.91	93538	935387136.00
2017/01/03	1435	1960.91	1962.31	1960.87	1961.89	99847	998477824.00
2017/01/03	1440	1961.87	1963.65	1961.60	1963.65	109579	1095794688.00
2017/01/03	1445	1963.79	1963.79	1962.14	1962.69	115841	1158410240.00
2017/01/03	1450	1962.72	1963.09	1962.29	1962.45	117574	1175744512.00
2017/01/03	1455	1962.76	1963.06	1962.24	1962.50	143788	1437884416.00
2017/01/03	1500	1962.47	1963.26	1962.24	1963.26	179871	1798713344.00
2017/01/04	0935	1963.02	1963.90	1961.17	1961.89	309463	3094637312.00
2017/01/04	0940	1961.78	1962.63	1961.12	1962.01	176072	1760721152.00
2017/01/04	0945	1962.26	1964.86	1962.26	1964.50	193087	1930878464.00
2017/01/04	0950	1964.48	1964.82	1963.54	1963.67	165749	1657496064.00
2017/01/04	0955	1963.52	1963.73	1961.86	1961.88	170655	1706554368.00
2017/01/04	1000	1962.00	1962.60	1961.95	1962.11	150640	1506406400.00
2017/01/04	1005	1962.17	1962.25	1959.64	1959.80	153393	1533930496.00
2017/01/04	1010	1959.66	1962.15	1959.57	1961.78	148417	1484173312.00
2017/01/04	1015	1961.88	1964.30	1961.88	1963.52	130024	1300248576.00
2017/01/04	1020	1963.66	1964.29	1963.31	1963.99	118832	1188323328.00
2017/01/04	1025	1963.87	1967.14	1963.87	1967.10	133054	1330543616.00
2017/01/04	1030	1966.89	1968.63	1966.42	1968.59	122172	1221724160.00
2017/01/04	1035	1968.62	1974.14	1968.38	1974.14	173050	1730508800.00
2017/01/04	1040	1974.12	1974.41	1972.60	1972.67	132292	1322926080.00
2017/01/04	1045	1972.61	1972.97	1971.50	1971.88	105226	1052262400.00
2017/01/04	1050	1972.07	1976.97	1971.85	1976.74	136965	1369653248.00
2017/01/04	1055	1976.78	1977.32	1976.35	1976.60	141580	1415809024.00
