date,time,open,max,min,close,volume,turnover
2016/11/24,932,3238.51,3244.89,3235.68,3241.95,8007551,0.0
2016/11/24,1032,3242.33,3249.02,3241.14,3244.76,5827875,0.0
2016/11/24,1302,3245.31,3257.72,3243.28,3243.41,5354195,0.0
2016/11/24,1402,3243.57,3246.65,3232.94,3243.14,7520785,0.0
2016/11/25,932,3242.81,3251.37,3209.68,3215.59,10587277,0.0
2016/11/25,1032,3215.25,3238.88,3214.89,3238.84,4539943,0.0
2016/11/25,1302,3237.46,3243.96,3233.59,3243.75,3519351,0.0
2016/11/25,1402,3243.82,3273.46,3242.15,3272.87,7564922,0.0
2016/11/28,932,3273.37,3286.48,3270.44,3276.83,10814272,0.0
2016/11/28,1032,3276.9,3280.06,3267.67,3280.06,4868774,0.0
2016/11/28,1302,3279.7,3284.4,3276.31,3280.91,5275116,0.0
2016/11/28,1402,3280.82,3288.33,3264.65,3264.65,8874646,0.0
2016/11/29,932,3265.26,3282.04,3263.39,3278.8,9970986,0.0
2016/11/29,1032,3278.8,3296.48,3278.8,3296.39,7128705,0.0
2016/11/29,1302,3296.7,3297.32,3273.33,3279.8,7335625,0.0
2016/11/29,1402,3279.79,3301.21,3269.62,3270.08,10401590,0.0
2016/11/30,932,3270.29,3277.15,3253.98,3261.76,10215615,0.0
2016/11/30,1032,3261.28,3263.83,3246.53,3250.23,5045100,0.0
2016/11/30,1302,3250.61,3256.81,3246.63,3246.81,4233103,0.0
2016/11/30,1402,3246.66,3261.86,3239.59,3261.34,6717843,0.0
2016/12/01,932,3260.97,3275.22,3257.57,3272.91,8232501,0.0
2016/12/01,1032,3272.85,3279.21,3266.79,3268.8,5951330,0.0
2016/12/01,1302,3268.97,3268.97,3260.07,3263.99,4832540,0.0
2016/12/01,1402,3264.38,3274.07,3256.3,3267.99,7160542,0.0
2016/12/02,932,3268.13,3279.3,3265.36,3267.51,9540968,0.0
2016/12/02,1032,3267.51,3267.51,3243.5,3243.53,6080760,0.0
2016/12/02,1302,3243.31,3254.24,3235.39,3248.51,5117534,0.0
2016/12/02,1402,3248.61,3251.47,3199.01,3202.31,7620527,0.0
2016/12/05,932,3203.22,3219.35,3201.9,3209.75,8442406,0.0
2016/12/05,1032,3209.82,3218.88,3198.0,3201.65,4986802,0.0
2016/12/05,1302,3201.68,3208.63,3196.53,3199.71,3622881,0.0
2016/12/05,1402,3199.43,3207.85,3194.91,3207.72,6251951,0.0
2016/12/06,932,3208.01,3215.31,3206.18,3206.64,6270754,0.0
2016/12/06,1032,3206.42,3209.15,3201.23,3207.36,3637497,0.0
2016/12/06,1302,3207.63,3208.42,3199.85,3206.23,2853380,0.0
2016/12/06,1402,3206.24,3209.1,3196.61,3200.35,4882727,0.0
2016/12/07,932,3200.16,3201.92,3189.7,3191.21,5959138,0.0
2016/12/07,1032,3190.54,3206.37,3189.64,3205.86,3786315,0.0
2016/12/07,1302,3205.99,3215.59,3203.6,3211.54,3803850,0.0
2016/12/07,1402,3211.25,3225.55,3209.79,3223.35,5586212,0.0
2016/12/08,932,3223.66,3227.92,3218.6,3222.92,6974929,0.0
2016/12/08,1032,3223.04,3224.97,3215.45,3220.04,3982688,0.0
2016/12/08,1302,3219.96,3226.01,3215.04,3223.97,3152618,0.0
2016/12/08,1402,3223.66,3224.21,3207.05,3207.05,5540540,0.0
2016/12/09,932,3207.89,3228.92,3207.25,3222.35,7020684,0.0
2016/12/09,1032,3222.45,3240.69,3222.19,3240.69,4889338,0.0
2016/12/09,1302,3240.66,3244.79,3235.37,3239.43,4508982,0.0
2016/12/09,1402,3239.31,3239.62,3222.39,3235.06,6374559,0.0
2016/12/12,932,3234.51,3244.9,3204.51,3208.43,9332423,0.0
2016/12/12,1032,3208.8,3209.11,3163.12,3164.02,6050008,0.0
2016/12/12,1302,3163.74,3176.58,3151.23,3152.07,5334008,0.0
2016/12/12,1402,3151.68,3167.13,3138.45,3140.11,8539071,0.0
2016/12/13,932,3140.6,3145.85,3128.48,3136.2,7011251,0.0
2016/12/13,1032,3136.26,3136.62,3118.74,3133.45,4100471,0.0
2016/12/13,1302,3133.92,3151.35,3131.29,3146.83,3582016,0.0
2016/12/13,1402,3146.88,3162.49,3146.88,3147.23,5555113,0.0
2016/12/14,932,3147.77,3164.89,3143.94,3146.69,7545982,0.0
2016/12/14,1032,3146.94,3159.33,3136.38,3158.65,4572712,0.0
2016/12/14,1302,3158.89,3170.02,3154.2,3163.53,3936179,0.0
2016/12/14,1402,3163.24,3163.57,3122.68,3123.7,5917975,0.0
2016/12/15,932,3123.39,3138.77,3111.17,3123.41,7913635,0.0
2016/12/15,1032,3123.49,3138.08,3122.54,3132.98,4098890,0.0
2016/12/15,1302,3132.89,3134.06,3112.43,3116.58,3335252,0.0
2016/12/15,1402,3116.55,3118.32,3100.91,3111.6,5718456,0.0
2016/12/16,932,3110.58,3122.84,3106.54,3121.87,6699213,0.0
2016/12/16,1032,3121.55,3128.27,3114.86,3117.78,3656913,0.0
2016/12/16,1302,3117.45,3122.63,3110.34,3121.63,3247927,0.0
2016/12/16,1402,3122.18,3126.64,3116.05,3119.05,5386720,0.0
2016/12/19,932,3119.29,3125.03,3110.39,3123.93,6365037,0.0
2016/12/19,1032,3124.52,3124.68,3114.74,3123.42,3208970,0.0
2016/12/19,1302,3123.74,3125.06,3116.24,3116.33,2911718,0.0
