datetime,open,max,min,close,volume,,,,,,,
 2015/04/09-10:30,4006.13,4016.34,3925.09,3934.48,35578179,           ,           ,           ,           ,           ,           ,           
 2015/04/09-11:30,3935.21,3957.01,3900.16,3945.39,17922388,           ,           ,           ,           ,           ,           ,           
 2015/04/09-14:00,3946.92,3970.2,3924.06,3928.98,13211205,           ,           ,           ,           ,           ,           ,           
 2015/04/09-15:00,3928.96,3970.33,3928.96,3957.53,14959312,3759.94,           ,           ,           ,           ,           ,           
 2015/04/10-10:30,3947.49,3984.75,3930,3978.17,21918196,3766.67,           ,           ,           ,           ,           ,           
 2015/04/10-11:30,3977.99,4013.22,3970.04,4013.22,12803092,3773.77,           ,           ,           ,           ,           ,           
 2015/04/10-14:00,4015.56,4023.95,3987.88,4009.14,13901292,3781.17,           ,           ,           ,           ,           ,           
 2015/04/10-15:00,4007.97,4039.98,4007.5,4034.31,18227831,3788.71,           ,           ,           ,           ,           ,           
 2015/04/13-10:30,4072.72,4094.23,4057.53,4079.64,30321920,3797.08,           ,           ,           ,           ,           ,           
 2015/04/13-11:30,4079.53,4097.8,4076.02,4094.72,14598864,3805.77,           ,           ,           ,           ,           ,           
 2015/04/13-14:00,4094.84,4109.52,4082.64,4094.31,15353917,3813.49,           ,           ,           ,           ,           ,           
 2015/04/13-15:00,4094.06,4127.88,4094.06,4121.71,17892028,3821.9,           ,           ,           ,           ,           ,           
 2015/04/14-10:30,4125.78,4130.52,4094.48,4115.13,32112773,3829.44,           ,           ,           ,           ,           ,           
 2015/04/14-11:30,4114.14,4161.42,4111.26,4161.42,15017911,3837.52,           ,           ,           ,           ,           ,           
 2015/04/14-14:00,4160.22,4168.02,4091.56,4113.78,17747410,3845.15,           ,           ,           ,           ,           ,           
 2015/04/14-15:00,4113.58,4145.51,4103.73,4135.57,16586420,3852.62,           ,           ,           ,           ,           ,           
 2015/04/15-10:30,4135.65,4153.89,4108.03,4153.44,28511341,3860.36,           ,           ,           ,           ,           ,           
 2015/04/15-11:30,4153.53,4160.37,4069.61,4089.52,18398933,3867.89,           ,           ,           ,           ,           ,           
 2015/04/15-14:00,4090.38,4144.05,4078.91,4143.6,12748652,3875.83,           ,           ,           ,           ,           ,           
 2015/04/15-15:00,4144.48,4174.93,4083.22,4084.16,17653661,3882.38,           ,           ,           ,           ,           ,           
 2015/04/16-10:30,4055.92,4123.85,4031.7,4115.34,25684945,3889.67,           ,           ,           ,           ,           ,           
