date	time	open	max	min	close	volume	turnover
2017/01/03	0935	6492.00	6504.58	6492.00	6495.51	417268	4172683008.00
2017/01/03	0940	6496.13	6496.13	6489.90	6491.74	310808	3108088064.00
2017/01/03	0945	6491.83	6501.99	6490.96	6501.51	306586	3065869312.00
2017/01/03	0950	6502.16	6509.11	6501.94	6507.74	293100	2931002368.00
2017/01/03	0955	6507.20	6512.71	6507.16	6508.98	268403	2684035072.00
2017/01/03	1000	6508.47	6509.09	6506.24	6508.98	239771	2397712384.00
2017/01/03	1005	6509.23	6509.35	6502.37	6502.37	231301	2313015296.00
2017/01/03	1010	6502.12	6510.00	6500.53	6509.77	215261	2152620032.00
2017/01/03	1015	6509.37	6513.78	6508.86	6513.78	211824	2118248448.00
2017/01/03	1020	6513.10	6514.20	6510.26	6510.72	199137	1991374848.00
2017/01/03	1025	6510.39	6513.15	6509.16	6512.68	175435	1754353664.00
2017/01/03	1030	6512.49	6517.69	6511.35	6517.41	177228	1772288000.00
2017/01/03	1035	6517.32	6521.51	6516.67	6517.99	186822	1868222464.00
2017/01/03	1040	6517.77	6518.37	6514.61	6515.30	155463	1554630656.00
2017/01/03	1045	6515.42	6516.55	6514.02	6515.48	146840	1468407808.00
2017/01/03	1050	6515.92	6516.85	6512.59	6512.89	139465	1394655232.00
2017/01/03	1055	6513.00	6515.89	6510.88	6511.29	137696	1376968704.00
2017/01/03	1100	6511.14	6511.79	6508.01	6508.31	134907	1349074944.00
2017/01/03	1105	6508.35	6510.73	6507.94	6509.52	126691	1266913280.00
2017/01/03	1110	6509.29	6510.41	6508.14	6508.29	116865	1168658432.00
2017/01/03	1115	6508.43	6509.74	6508.05	6508.11	112223	1122230272.00
2017/01/03	1120	6508.13	6509.30	6505.64	6505.81	112235	1122353152.00
2017/01/03	1125	6506.44	6506.62	6500.84	6500.90	113634	1136340992.00
2017/01/03	1130	6501.19	6501.46	6498.81	6500.93	117545	1175453696.00
2017/01/03	1305	6500.52	6504.75	6500.52	6504.56	99772	997720064.00
2017/01/03	1310	6504.38	6505.50	6503.03	6504.23	97523	975233024.00
2017/01/03	1315	6504.61	6507.04	6504.22	6505.36	101444	1014444032.00
2017/01/03	1320	6505.21	6506.57	6504.03	6504.97	114809	1148092416.00
2017/01/03	1325	6504.70	6505.52	6503.17	6505.22	118217	1182175232.00
2017/01/03	1330	6505.20	6505.56	6503.44	6505.56	125300	1253003264.00
2017/01/03	1335	6504.57	6509.84	6504.57	6509.30	134651	1346519040.00
2017/01/03	1340	6509.55	6510.09	6507.08	6507.68	127606	1276067840.00
2017/01/03	1345	6508.14	6508.14	6504.52	6505.87	135454	1354547200.00
2017/01/03	1350	6506.19	6506.93	6504.27	6506.46	150107	1501073408.00
2017/01/03	1355	6506.76	6507.58	6504.61	6504.94	131051	1310511104.00
2017/01/03	1400	6504.85	6505.62	6502.50	6502.50	140078	1400782848.00
2017/01/03	1405	6502.38	6503.18	6498.31	6498.53	142571	1425719296.00
